algorithm,generation,hypervolume
SPEA2,1,18094.275608425996
SPEA2,2,18094.275608425993
SPEA2,3,17610.633487523155
SPEA2,4,17417.832217888677
SPEA2,5,17417.832217888674
SPEA2,6,10809.959680759961
SPEA2,7,10809.959680759965
SPEA2,8,10809.959680759957
SPEA2,9,10809.959680759961
SPEA2,10,10809.959680759961
SPEA2,11,10809.959680759961
SPEA2,12,10809.959680759961
SPEA2,13,10809.959680759961
SPEA2,14,10915.006235682076
SPEA2,15,10915.00623568208
SPEA2,16,10915.006235682078
SPEA2,17,10915.006235682078
SPEA2,18,10915.006235682078
SPEA2,19,10915.006235682082
SPEA2,20,10915.006235682082
SPEA2,21,10915.006235682082
SPEA2,22,10915.006235682082
SPEA2,23,10915.006235682082
SPEA2,24,10915.00623568208
SPEA2,25,10915.006235682078
SPEA2,26,10915.006235682078
SPEA2,27,10903.076376839253
SPEA2,28,10903.076376839252
SPEA2,29,10903.07637683925
SPEA2,30,13515.508874148338
SPEA2,31,13800.674413171317
SPEA2,32,13800.674413171317
SPEA2,33,13800.674413171317
SPEA2,34,13800.674413171315
SPEA2,35,13800.674413171311
SPEA2,36,13800.674413171311
SPEA2,37,13800.67441317131
SPEA2,38,13216.140917276716
SPEA2,39,13758.631619217844
SPEA2,40,13758.631619217844
SPEA2,41,13758.631619217844
SPEA2,42,13758.631619217844
SPEA2,43,13758.631619217844
SPEA2,44,5664.6911938066005
SPEA2,45,5664.691193806601
SPEA2,46,5664.691193806601
SPEA2,47,5834.098923257599
SPEA2,48,6515.096605031756
SPEA2,49,6515.096605031756
SPEA2,50,6515.096605031756
SPEA2,51,6515.096605031756
SPEA2,52,6515.096605031755
SPEA2,53,6515.096605031755
SPEA2,54,6515.096605031754
SPEA2,55,4986.191955465481
SPEA2,56,4986.1919554654805
SPEA2,57,4986.19195546548
SPEA2,58,4986.19195546548
SPEA2,59,4986.19195546548
SPEA2,60,4986.19195546548
SPEA2,61,4986.19195546548
SPEA2,62,4986.19195546548
SPEA2,63,4986.19195546548
SPEA2,64,4986.191955465479
SPEA2,65,4986.19195546548
SPEA2,66,4986.19195546548
SPEA2,67,4986.19195546548
SPEA2,68,4986.1919554654805
SPEA2,69,4986.19195546548
SPEA2,70,4986.19195546548
SPEA2,71,4986.1919554654805
SPEA2,72,4986.1919554654805
SPEA2,73,4986.191955465481
SPEA2,74,4986.1919554654805
SPEA2,75,4986.1919554654805
SPEA2,76,4986.191955465481
SPEA2,77,4986.191955465481
SPEA2,78,4986.1919554654805
SPEA2,79,4986.191955465481
SPEA2,80,4986.191955465481
SPEA2,81,4986.191955465481
SPEA2,82,4986.1919554654805
SPEA2,83,4986.19195546548
SPEA2,84,4986.19195546548
SPEA2,85,4986.19195546548
SPEA2,86,4986.19195546548
SPEA2,87,4986.19195546548
SPEA2,88,4986.19195546548
SPEA2,89,4986.19195546548
SPEA2,90,4986.19195546548
