algorithm,generation,hypervolume
SPEA2,1,23212.27410484357
SPEA2,2,20728.54891331896
SPEA2,3,20685.504815494838
SPEA2,4,6580.413237273335
SPEA2,5,6192.364298429923
SPEA2,6,6192.364298429922
SPEA2,7,6192.364298429923
SPEA2,8,6192.364298429927
SPEA2,9,7018.7392685115465
SPEA2,10,7018.7392685115465
SPEA2,11,7018.739268511544
SPEA2,12,7018.739268511542
SPEA2,13,20895.247726592814
SPEA2,14,20895.247726592814
SPEA2,15,20895.24772659281
SPEA2,16,22217.191111999495
SPEA2,17,57618.93545209454
SPEA2,18,33528.19010634669
SPEA2,19,33528.19010634668
SPEA2,20,12416.113385320336
SPEA2,21,13169.716397438126
SPEA2,22,1716.6644755309476
SPEA2,23,1716.6644755309476
SPEA2,24,1716.6644755309476
SPEA2,25,1716.6644755309476
SPEA2,26,1716.6644755309476
SPEA2,27,1716.6644755309476
SPEA2,28,1716.6644755309476
SPEA2,29,1716.6644755309476
SPEA2,30,1716.6644755309476
SPEA2,31,1716.6644755309471
SPEA2,32,1716.6644755309476
SPEA2,33,1716.6644755309471
SPEA2,34,1716.6644755309471
SPEA2,35,1716.6644755309476
SPEA2,36,1716.6644755309471
SPEA2,37,1716.6644755309471
SPEA2,38,1716.6644755309471
SPEA2,39,1716.6644755309476
SPEA2,40,1716.6644755309476
SPEA2,41,1716.6644755309476
SPEA2,42,1716.6644755309476
SPEA2,43,1716.6644755309476
SPEA2,44,1716.6644755309476
SPEA2,45,1716.6644755309476
SPEA2,46,1716.6644755309476
SPEA2,47,1716.6644755309476
SPEA2,48,1716.6644755309476
SPEA2,49,1716.664475530948
SPEA2,50,1716.664475530948
SPEA2,51,1716.664475530948
SPEA2,52,1716.664475530948
SPEA2,53,1716.6644755309476
SPEA2,54,1716.6644755309476
SPEA2,55,1716.6644755309476
SPEA2,56,1716.6644755309476
SPEA2,57,1716.6644755309476
SPEA2,58,1716.6644755309476
SPEA2,59,1716.6644755309471
SPEA2,60,1716.6644755309471
SPEA2,61,1716.6644755309471
SPEA2,62,1716.6644755309476
SPEA2,63,1716.6644755309476
SPEA2,64,1716.6644755309476
SPEA2,65,1716.6644755309476
SPEA2,66,1716.6644755309476
SPEA2,67,1716.6644755309476
SPEA2,68,1716.6644755309476
SPEA2,69,1716.6644755309476
SPEA2,70,1716.6644755309476
SPEA2,71,1716.6644755309476
SPEA2,72,1716.6644755309476
SPEA2,73,1716.6644755309476
SPEA2,74,1716.6644755309476
SPEA2,75,1716.6644755309476
SPEA2,76,1716.6644755309476
SPEA2,77,1716.6644755309476
SPEA2,78,3135.5435818596875
SPEA2,79,3135.5435818596875
SPEA2,80,3135.543581859687
SPEA2,81,3135.543581859687
SPEA2,82,3135.543581859687
SPEA2,83,3135.543581859687
SPEA2,84,3135.5435818596875
SPEA2,85,3135.5435818596875
SPEA2,86,3135.5435818596875
SPEA2,87,3135.5435818596875
SPEA2,88,3135.5435818596875
SPEA2,89,3135.5435818596875
SPEA2,90,3135.5435818596875
SPEA2,91,3135.543581859687
SPEA2,92,3135.543581859687
SPEA2,93,3135.543581859687
SPEA2,94,3135.543581859687
SPEA2,95,3135.543581859687
SPEA2,96,3135.5435818596875
SPEA2,97,3135.5435818596875
SPEA2,98,3135.5435818596875
SPEA2,99,3135.5435818596875
SPEA2,100,3135.543581859688
