algorithm,generation,hypervolume
NSGA-II,1,10809.95968075996
NSGA-II,2,10809.95968075996
NSGA-II,3,10809.959680759963
NSGA-II,4,10809.959680759961
NSGA-II,5,10809.959680759961
NSGA-II,6,10809.959680759961
NSGA-II,7,10809.959680759961
NSGA-II,8,10809.959680759963
NSGA-II,9,10809.959680759966
NSGA-II,10,10809.959680759961
NSGA-II,11,10809.95968075996
NSGA-II,12,10809.959680759961
NSGA-II,13,10809.95968075996
NSGA-II,14,10809.959680759963
NSGA-II,15,10809.959680759963
NSGA-II,16,10809.959680759963
NSGA-II,17,10809.959680759963
NSGA-II,18,10809.959680759963
NSGA-II,19,10809.959680759961
NSGA-II,20,10809.959680759961
NSGA-II,21,10809.959680759961
NSGA-II,22,10809.95968075996
NSGA-II,23,10809.95968075996
NSGA-II,24,12142.318627696994
NSGA-II,25,12142.318627696994
NSGA-II,26,12142.318627696994
NSGA-II,27,12142.318627696997
NSGA-II,28,12142.318627696997
NSGA-II,29,10439.088618877202
NSGA-II,30,10439.088618877204
NSGA-II,31,10449.558062890212
NSGA-II,32,10714.87097734163
NSGA-II,33,10714.87097734163
NSGA-II,34,10714.870977341629
NSGA-II,35,10714.870977341629
NSGA-II,36,10714.870977341629
NSGA-II,37,10714.870977341629
NSGA-II,38,10714.87097734163
NSGA-II,39,10714.870977341629
NSGA-II,40,10714.870977341627
NSGA-II,41,10714.870977341627
NSGA-II,42,10714.870977341627
NSGA-II,43,10714.870977341627
NSGA-II,44,10714.870977341627
NSGA-II,45,10714.870977341627
NSGA-II,46,10714.870977341629
NSGA-II,47,10714.870977341627
NSGA-II,48,10714.870977341625
NSGA-II,49,10714.870977341623
NSGA-II,50,10714.870977341627
NSGA-II,51,10714.870977341627
NSGA-II,52,10752.91243416823
NSGA-II,53,10752.91243416823
NSGA-II,54,10752.91243416823
NSGA-II,55,10752.91243416823
NSGA-II,56,10752.912434168233
NSGA-II,57,10752.912434168235
NSGA-II,58,10785.73263974927
NSGA-II,59,10785.73263974927
NSGA-II,60,11131.98965262376
NSGA-II,61,11131.98965262376
NSGA-II,62,11131.98965262376
NSGA-II,63,11131.98965262376
NSGA-II,64,11213.540307890904
NSGA-II,65,11213.540307890904
NSGA-II,66,11213.540307890906
NSGA-II,67,11213.540307890906
NSGA-II,68,10953.751538379682
NSGA-II,69,10953.751538379684
NSGA-II,70,10661.406339682291
NSGA-II,71,10661.406339682291
NSGA-II,72,10661.406339682291
NSGA-II,73,10661.406339682291
NSGA-II,74,10661.406339682291
NSGA-II,75,10661.406339682295
NSGA-II,76,10661.406339682295
NSGA-II,77,10661.406339682293
NSGA-II,78,10661.406339682293
NSGA-II,79,10661.406339682293
NSGA-II,80,10661.406339682293
NSGA-II,81,10661.406339682293
NSGA-II,82,10661.406339682293
NSGA-II,83,10661.406339682293
NSGA-II,84,10661.406339682293
NSGA-II,85,10661.406339682293
NSGA-II,86,10661.406339682293
NSGA-II,87,10661.406339682293
NSGA-II,88,10661.406339682295
