experiment,solution_id,obj_1,obj_2,obj_3
diversity_on_nsga2,0,-29.152288175,16.217711825000002,5.147711824999999
diversity_on_nsga2,1,-17.57150125,4.65849875,21.02849875
diversity_on_nsga2,2,-118.85133810892765,31.588661891072356,90.64866189107236
diversity_on_nsga2,3,-10.802353624999999,5.857646375,9.297646375000001
diversity_on_nsga2,4,-95.44538286000001,41.994617139999995,74.15461714
diversity_on_nsga2,5,-97.54194267099999,41.818057329,89.358057329
diversity_on_nsga2,6,-88.1822835335,25.347716466500003,67.11771646650001
diversity_on_nsga2,7,-66.25367709999999,28.0563229,33.2463229
diversity_on_nsga2,8,-94.20804931085453,37.72195068914545,78.79195068914547
diversity_on_nsga2,9,-94.93852045,41.631479549999995,78.86147955000001
diversity_on_nsga2,10,-42.65678476442308,33.67321523557692,17.943215235576925
diversity_on_nsga2,11,-75.01765035000001,16.002349650000003,52.88234965
diversity_on_nsga2,12,-93.48699953209163,36.45300046790835,78.51300046790837
diversity_on_nsga2,13,-90.25561928098219,24.844380719017824,81.94438071901783
diversity_on_nsga2,14,-79.66486998890298,21.705130011097026,58.63513001109701
diversity_on_nsga2,15,-83.61607462568644,18.793925374313563,72.88392537431356
diversity_on_nsga2,16,-93.06812882302526,33.571871176974746,83.43187117697474
diversity_on_nsga2,17,-15.6,5.22,16.3
diversity_on_nsga2,18,-18.5,7.119999999999999,14.6
diversity_on_nsga2,19,-12.298612874999998,6.191387124999999,11.301387125
diversity_on_nsga2,20,-77.26501212568644,18.36498787431356,63.03498787431356
diversity_on_nsga2,21,-87.11614345982912,23.56385654017088,77.5838565401709
diversity_on_nsga2,22,-69.074894,17.515106000000003,41.525105999999994
diversity_on_nsga2,23,-78.72057612607634,21.179423873923668,61.87942387392367
diversity_on_nsga2,24,-85.67658649999998,30.043413500000003,54.9234135
diversity_on_nsga2,25,-84.52783491980125,21.972165080198767,59.27216508019877
diversity_on_nsga2,26,-85.67658649999998,30.043413500000003,54.9234135
diversity_on_nsga2,27,-32.47769379038461,7.182306209615385,36.52230620961539
diversity_on_nsga2,28,-44.51849951153846,10.48150048846154,35.38150048846154
diversity_on_nsga2,29,-74.26641932068344,22.273580679316563,47.533580679316564
diversity_on_nsga2,30,-92.45481181021762,28.975188189782394,65.34518818978239
diversity_on_nsga2,31,-64.69997567151016,22.50002432848983,28.200024328489828
diversity_on_nsga2,32,-61.24536842151017,15.304631578489829,28.154631578489827
diversity_on_nsga2,33,-34.21699295,7.483007049999999,24.48300705
diversity_on_nsga2,34,-16.7639080125,8.2260919875,13.3360919875
diversity_on_nsga2,35,-43.828105820543136,30.521894179456858,19.67189417945686
diversity_on_nsga2,36,-80.26658975,23.70341025,40.73341025
diversity_on_nsga2,37,-34.7,7.31,32.5
diversity_on_nsga2,38,-59.377905238074966,23.352094761925038,21.922094761925045
diversity_on_nsga2,39,-35.49999999999999,17.12,6.4
diversity_on_nsga2,40,-22.686460825,10.893539175,6.4135391749999995
diversity_on_nsga2,41,-56.16289434999999,19.567105650000006,26.137105650000002
diversity_on_nsga2,42,-77.89990382221664,20.380096177783344,49.50009617778335
diversity_on_nsga2,43,-53.065096056730766,12.354903943269232,29.73490394326923
diversity_on_nsga2,44,-57.5,14.440000000000001,33.900000000000006
diversity_on_nsga2,45,-22.299999999999997,8.46,12.3
diversity_on_nsga2,46,-93.06812882302526,33.571871176974746,83.43187117697474
diversity_on_nsga2,47,-40.400000000000006,13.74,10.8
diversity_on_nsga2,48,-26.384449676923072,5.445550323076923,29.91555032307692
diversity_on_nsga2,49,-40.58133158125,9.838668418749998,44.11866841875
diversity_on_nsga2,50,-49.655950675000014,10.694049325,38.644049325
diversity_on_nsga2,51,-27.71783175,11.90216825,15.78216825
diversity_on_nsga2,52,-29.152288175,16.217711825000002,5.147711824999999
diversity_on_nsga2,53,-78.67768334821321,23.582316651786794,50.72231665178679
