algorithm,generation,hypervolume
SPEA2,1,32317.040748818155
SPEA2,2,1092.031292330747
SPEA2,3,1092.0312923307465
SPEA2,4,1092.0312923307465
SPEA2,5,1092.0312923307467
SPEA2,6,1092.0312923307463
SPEA2,7,1092.0312923307465
SPEA2,8,1092.0312923307465
SPEA2,9,1092.0312923307463
SPEA2,10,1092.0312923307463
SPEA2,11,1045.4078268336839
SPEA2,12,1045.4078268336843
SPEA2,13,1045.4078268336843
SPEA2,14,1045.4078268336843
SPEA2,15,1045.4078268336843
SPEA2,16,3067.4136073428085
SPEA2,17,3067.4136073428076
SPEA2,18,3067.413607342808
SPEA2,19,3067.4136073428085
SPEA2,20,3067.413607342809
SPEA2,21,3067.4136073428085
SPEA2,22,3067.413607342809
SPEA2,23,3067.413607342809
SPEA2,24,3067.4136073428085
SPEA2,25,3067.413607342809
SPEA2,26,3067.4136073428076
SPEA2,27,3067.4136073428085
SPEA2,28,3067.413607342809
SPEA2,29,3067.4136073428085
SPEA2,30,3067.41360734281
SPEA2,31,3067.413607342809
SPEA2,32,3067.413607342809
SPEA2,33,3067.413607342809
SPEA2,34,3067.4136073428094
SPEA2,35,3067.4136073428094
SPEA2,36,3067.413607342809
SPEA2,37,3067.4136073428085
SPEA2,38,3067.4136073428085
SPEA2,39,3067.413607342808
SPEA2,40,3067.4136073428085
SPEA2,41,2147.751774055398
SPEA2,42,2147.7517740553985
SPEA2,43,2147.751774055399
SPEA2,44,2147.751774055398
SPEA2,45,2147.751774055398
SPEA2,46,1474.815903145197
SPEA2,47,1474.815903145197
SPEA2,48,1474.815903145197
SPEA2,49,1474.8159031451967
SPEA2,50,1474.8159031451962
SPEA2,51,1474.8159031451962
SPEA2,52,1474.815903145197
SPEA2,53,1474.8159031451967
SPEA2,54,1474.8159031451967
SPEA2,55,1474.815903145197
SPEA2,56,1474.8159031451967
SPEA2,57,1474.815903145197
SPEA2,58,1623.7986381675246
SPEA2,59,1623.7986381675244
SPEA2,60,1623.7986381675244
SPEA2,61,1623.7986381675241
SPEA2,62,1623.7986381675241
SPEA2,63,1623.7986381675241
SPEA2,64,1623.7986381675246
SPEA2,65,1623.7986381675248
SPEA2,66,1623.7986381675248
SPEA2,67,1623.798638167525
SPEA2,68,1623.7986381675248
SPEA2,69,1623.7986381675246
SPEA2,70,1623.7986381675248
SPEA2,71,4129.211602487884
SPEA2,72,4129.211602487884
SPEA2,73,4129.211602487884
SPEA2,74,4129.211602487884
SPEA2,75,1623.7986381675246
SPEA2,76,1642.5635640232215
SPEA2,77,4147.976528343584
SPEA2,78,4147.976528343585
SPEA2,79,4147.976528343585
SPEA2,80,4147.976528343585
SPEA2,81,4147.9765283435845
SPEA2,82,4147.9765283435845
SPEA2,83,4147.9765283435845
SPEA2,84,5333.707379562597
SPEA2,85,5333.707379562597
SPEA2,86,5333.707379562597
SPEA2,87,5333.707379562597
SPEA2,88,5333.707379562597
SPEA2,89,5335.2357889390105
SPEA2,90,5335.2357889390105
SPEA2,91,5335.2357889390105
SPEA2,92,5335.2357889390105
SPEA2,93,5335.23578893901
SPEA2,94,5335.23578893901
SPEA2,95,2705.423845667374
SPEA2,96,2705.423845667374
SPEA2,97,5335.23578893901
SPEA2,98,5335.23578893901
SPEA2,99,5335.23578893901
SPEA2,100,5335.23578893901
SPEA2,101,5342.219307838615
SPEA2,102,5342.219307838614
SPEA2,103,5521.697659073144
SPEA2,104,5521.697659073145
SPEA2,105,5521.697659073145
SPEA2,106,5521.697659073145
SPEA2,107,5521.697659073145
SPEA2,108,5521.697659073145
SPEA2,109,5521.697659073145
SPEA2,110,5521.697659073145
SPEA2,111,5521.697659073145
SPEA2,112,5521.697659073145
SPEA2,113,5521.697659073145
SPEA2,114,5521.697659073146
SPEA2,115,5521.697659073146
SPEA2,116,5521.697659073146
SPEA2,117,5521.697659073146
SPEA2,118,5521.697659073146
SPEA2,119,5521.697659073146
