algorithm,generation,hypervolume
SPEA2,1,10809.959680759957
SPEA2,2,10809.959680759966
SPEA2,3,10809.959680759963
SPEA2,4,2580.4971098929946
SPEA2,5,2581.4474080659807
SPEA2,6,2403.7119010928723
SPEA2,7,2192.749247363789
SPEA2,8,2192.7492473637885
SPEA2,9,2192.7492473637885
SPEA2,10,6560.638655973961
SPEA2,11,961.2841777948892
SPEA2,12,961.2841777948894
SPEA2,13,961.2841777948892
SPEA2,14,961.2841777948892
SPEA2,15,1072.8677831142277
SPEA2,16,1072.8677831142277
SPEA2,17,1072.8677831142277
SPEA2,18,1072.867783114228
SPEA2,19,1072.867783114228
SPEA2,20,1072.8677831142281
SPEA2,21,1072.867783114228
SPEA2,22,1072.867783114228
SPEA2,23,1072.867783114228
SPEA2,24,1072.867783114228
SPEA2,25,1072.8677831142277
SPEA2,26,1072.8677831142277
SPEA2,27,1072.867783114228
SPEA2,28,2443.2802443435394
SPEA2,29,2443.2802443435385
SPEA2,30,2443.2802443435385
SPEA2,31,2443.2802443435385
SPEA2,32,2443.2802443435385
SPEA2,33,2443.280244343538
SPEA2,34,2443.2802443435385
SPEA2,35,2443.280244343538
SPEA2,36,2443.2802443435376
SPEA2,37,2443.2802443435367
SPEA2,38,2443.280244343538
SPEA2,39,2443.280244343537
SPEA2,40,2443.280244343537
SPEA2,41,2443.2802443435376
SPEA2,42,2443.2802443435376
SPEA2,43,2443.2802443435376
SPEA2,44,2443.280244343538
SPEA2,45,2443.2802443435376
SPEA2,46,2443.280244343537
SPEA2,47,2443.280244343537
SPEA2,48,2443.280244343537
SPEA2,49,3017.4955083608697
SPEA2,50,3017.4955083608693
SPEA2,51,3017.4955083608697
SPEA2,52,3017.4955083608693
SPEA2,53,3017.4955083608693
SPEA2,54,3017.495508360869
SPEA2,55,3017.4955083608693
SPEA2,56,3019.881396043552
SPEA2,57,3019.8813960435514
SPEA2,58,3019.881396043551
SPEA2,59,3019.8813960435514
SPEA2,60,3019.881396043552
SPEA2,61,3019.881396043552
SPEA2,62,3019.881396043552
SPEA2,63,3019.881396043552
SPEA2,64,3019.881396043552
SPEA2,65,2662.773520269271
SPEA2,66,2662.773520269271
SPEA2,67,2662.7735202692716
SPEA2,68,2662.7735202692716
SPEA2,69,2662.7735202692716
SPEA2,70,2662.7735202692716
SPEA2,71,2662.773520269271
SPEA2,72,2662.773520269271
SPEA2,73,2545.7101560583988
SPEA2,74,2545.710156058399
SPEA2,75,2545.710156058399
SPEA2,76,2545.710156058399
SPEA2,77,2545.710156058399
SPEA2,78,2545.710156058399
SPEA2,79,2545.710156058399
SPEA2,80,2545.710156058399
SPEA2,81,2545.710156058399
SPEA2,82,2545.710156058399
SPEA2,83,2545.710156058399
SPEA2,84,2545.710156058399
SPEA2,85,2662.773520269271
SPEA2,86,2662.773520269271
SPEA2,87,2662.773520269271
SPEA2,88,2662.773520269271
SPEA2,89,2662.773520269271
