algorithm,generation,hypervolume
NSGA-II,1,46518.896239487694
NSGA-II,2,46518.8962394877
NSGA-II,3,24381.824014804104
NSGA-II,4,24381.824014804104
NSGA-II,5,13086.713894350569
NSGA-II,6,14352.42720088121
NSGA-II,7,12702.727869277345
NSGA-II,8,12702.727869277347
NSGA-II,9,12510.61541338106
NSGA-II,10,12510.61541338106
NSGA-II,11,12510.61541338106
NSGA-II,12,12510.61541338106
NSGA-II,13,12510.615413381058
NSGA-II,14,12512.849126122575
NSGA-II,15,12512.849126122579
NSGA-II,16,12512.849126122579
NSGA-II,17,12512.849126122579
NSGA-II,18,12512.849126122577
NSGA-II,19,12705.970810568811
NSGA-II,20,12705.970810568815
NSGA-II,21,12705.970810568811
NSGA-II,22,12705.970810568811
NSGA-II,23,12705.970810568813
NSGA-II,24,12705.970810568811
NSGA-II,25,12705.970810568811
NSGA-II,26,12705.970810568811
NSGA-II,27,12705.97081056881
NSGA-II,28,4083.346656718203
NSGA-II,29,4083.3466567182027
NSGA-II,30,4083.3466567182027
NSGA-II,31,4083.346656718202
NSGA-II,32,3945.6497271391413
NSGA-II,33,3945.6497271391413
NSGA-II,34,3732.4667906691134
NSGA-II,35,3732.466790669112
NSGA-II,36,3909.8205409534353
NSGA-II,37,3909.820540953435
NSGA-II,38,3944.045213658712
NSGA-II,39,3944.0452136587114
NSGA-II,40,3944.0452136587105
NSGA-II,41,3909.820540953435
NSGA-II,42,3909.8205409534344
NSGA-II,43,3909.8205409534344
NSGA-II,44,3909.820540953435
NSGA-II,45,3909.820540953435
NSGA-II,46,3909.820540953436
NSGA-II,47,3909.820540953437
NSGA-II,48,3909.8205409534376
NSGA-II,49,3909.8205409534376
NSGA-II,50,3909.8205409534376
NSGA-II,51,3909.8205409534376
NSGA-II,52,3909.8205409534366
NSGA-II,53,3666.115484933503
NSGA-II,54,3666.115484933503
NSGA-II,55,3666.1154849335026
NSGA-II,56,3666.115484933502
NSGA-II,57,3666.115484933502
NSGA-II,58,3666.1154849335016
NSGA-II,59,3666.1154849335016
NSGA-II,60,3666.1154849335016
NSGA-II,61,3666.115484933501
NSGA-II,62,3666.1154849335016
NSGA-II,63,3666.1154849335016
NSGA-II,64,3666.1154849335016
NSGA-II,65,3909.8205409534376
NSGA-II,66,3909.8205409534376
NSGA-II,67,4440.156019650442
NSGA-II,68,4440.1560196504415
NSGA-II,69,4440.156019650442
NSGA-II,70,4440.1560196504415
NSGA-II,71,4440.156019650442
NSGA-II,72,4440.156019650442
NSGA-II,73,4440.1560196504415
NSGA-II,74,5641.591096830591
NSGA-II,75,5641.591096830591
NSGA-II,76,5641.591096830591
NSGA-II,77,5641.591096830591
NSGA-II,78,5641.591096830591
NSGA-II,79,5641.591096830591
NSGA-II,80,5641.591096830591
NSGA-II,81,5641.591096830591
NSGA-II,82,5641.591096830591
NSGA-II,83,5641.591096830591
NSGA-II,84,5641.591096830589
NSGA-II,85,5256.470590740588
NSGA-II,86,5256.470590740589
NSGA-II,87,5256.470590740589
NSGA-II,88,5256.47059074059
NSGA-II,89,5256.47059074059
NSGA-II,90,5256.4705907405905
NSGA-II,91,5256.47059074059
NSGA-II,92,5256.47059074059
NSGA-II,93,5256.47059074059
NSGA-II,94,5256.47059074059
NSGA-II,95,5256.47059074059
NSGA-II,96,5256.470590740589
NSGA-II,97,5256.470590740589
NSGA-II,98,5256.47059074059
NSGA-II,99,5367.098525541114
NSGA-II,100,5367.098525541116
NSGA-II,101,5367.098525541114
NSGA-II,102,5367.098525541114
NSGA-II,103,5367.098525541114
NSGA-II,104,5367.098525541114
NSGA-II,105,5367.098525541114
NSGA-II,106,5367.098525541114
NSGA-II,107,5367.098525541114
NSGA-II,108,5367.098525541114
NSGA-II,109,5367.098525541114
NSGA-II,110,5367.098525541114
NSGA-II,111,5367.098525541114
NSGA-II,112,5367.098525541114
NSGA-II,113,5367.098525541114
NSGA-II,114,5367.098525541114
NSGA-II,115,5367.098525541116
NSGA-II,116,5367.098525541116
NSGA-II,117,5367.098525541114
NSGA-II,118,5367.098525541114
NSGA-II,119,5367.098525541114
NSGA-II,120,5367.098525541114
NSGA-II,121,5367.098525541114
NSGA-II,122,5367.098525541114
NSGA-II,123,5367.098525541114
NSGA-II,124,5367.098525541114
NSGA-II,125,5367.098525541114
NSGA-II,126,5367.098525541114
NSGA-II,127,5323.574780484516
NSGA-II,128,5323.574780484516
NSGA-II,129,5323.574780484516
NSGA-II,130,5323.574780484516
NSGA-II,131,5323.574780484516
NSGA-II,132,5323.574780484516
NSGA-II,133,5323.574780484516
NSGA-II,134,5595.256343779038
NSGA-II,135,5595.256343779038
NSGA-II,136,5704.079937884493
NSGA-II,137,5704.079937884493
NSGA-II,138,5704.079937884495
NSGA-II,139,5704.079937884495
NSGA-II,140,5704.079937884495
NSGA-II,141,5704.079937884495
NSGA-II,142,5704.079937884495
NSGA-II,143,5704.079937884493
NSGA-II,144,5704.079937884493
NSGA-II,145,5704.079937884493
NSGA-II,146,5704.079937884493
NSGA-II,147,5704.079937884493
NSGA-II,148,5704.079937884493
NSGA-II,149,5704.079937884491
NSGA-II,150,5704.079937884491
NSGA-II,151,5704.079937884491
NSGA-II,152,5704.079937884491
NSGA-II,153,5704.079937884491
NSGA-II,154,5704.079937884491
NSGA-II,155,5704.079937884491
NSGA-II,156,5704.079937884491
NSGA-II,157,5704.079937884491
NSGA-II,158,5704.079937884491
NSGA-II,159,5704.079937884491
NSGA-II,160,5704.079937884491
NSGA-II,161,5704.079937884491
NSGA-II,162,5704.079937884491
NSGA-II,163,5704.079937884491
NSGA-II,164,5704.079937884491
NSGA-II,165,5704.079937884491
NSGA-II,166,5704.079937884491
NSGA-II,167,5704.0799378844895
NSGA-II,168,5704.0799378844895
NSGA-II,169,5704.0799378844895
NSGA-II,170,5704.0799378844895
NSGA-II,171,5704.0799378844895
NSGA-II,172,5704.0799378844895
NSGA-II,173,5704.0799378844895
NSGA-II,174,5704.0799378844895
NSGA-II,175,5704.0799378844895
NSGA-II,176,5704.0799378844895
NSGA-II,177,5704.0799378844895
NSGA-II,178,5704.0799378844895
NSGA-II,179,5704.0799378844895
NSGA-II,180,5704.0799378844895
NSGA-II,181,5704.0799378844895
NSGA-II,182,5704.0799378844895
