experiment,solution_id,obj_1,obj_2,obj_3
nsga2,0,-10.303801499999999,11.216198499999999,3.7961985
nsga2,1,-116.83243392665347,25.21756607334653,82.16756607334653
nsga2,2,-11.48601475,5.833985249999999,17.31398525
nsga2,3,-116.83243392665347,25.21756607334653,82.16756607334653
nsga2,4,-89.86917321134614,36.96082678865385,45.73082678865384
nsga2,5,1.285984053353709,9.915984053353709,6.285984053353709
nsga2,6,-53.62452468750001,30.6254753125,23.2754753125
nsga2,7,-69.196065725,26.473934274999994,31.503934275
nsga2,8,-110.99491482500001,21.835085175000003,74.20508517500001
nsga2,9,-86.04348148923074,35.096518510769236,51.956518510769236
nsga2,10,-48.10000000000001,12.43,20.599999999999998
nsga2,11,-102.40628029498572,32.053719705014274,69.0937197050143
nsga2,12,-99.08548163865385,31.46451836134615,73.31451836134617
nsga2,13,-99.54049267500001,20.819507325,79.85950732500001
nsga2,14,-89.86917321134614,36.96082678865385,45.73082678865384
nsga2,15,-69.5141235125,19.235876487499997,42.48587648749999
nsga2,16,-66.91939712269232,24.570602877307692,30.980602877307692
nsga2,17,-6.88400188077604,7.16599811922396,6.51599811922396
nsga2,18,-58.838175324999995,25.651824674999997,28.261824674999996
nsga2,19,-76.0815502875,22.868449712500002,34.018449712499994
nsga2,20,-94.44679211250002,17.7832078875,66.8532078875
nsga2,21,-62.57634307764794,22.203656922352053,35.42365692235206
nsga2,22,-102.40628029498572,32.053719705014274,69.0937197050143
nsga2,23,-100.57797326594599,32.62202673405401,67.02202673405401
nsga2,24,-74.49983571346155,15.33016428653846,47.20016428653846
nsga2,25,-50.631175914615376,23.198824085384615,25.168824085384617
nsga2,26,-110.99491482500001,21.835085175000003,74.20508517500001
nsga2,27,-12.878007,7.3419929999999995,15.721993000000001
nsga2,28,-31.793793442307692,17.456206557692308,11.406206557692308
nsga2,29,-64.29701750000001,12.912982499999998,54.1029825
nsga2,30,-43.699999999999996,10.26,32.7
nsga2,31,-81.03759237499997,32.542407625,51.362407625
nsga2,32,-65.9,13.799999999999999,36.4
nsga2,33,-80.4,16.14,61.6
nsga2,34,-0.5401518332087134,6.679848166791286,7.459848166791287
nsga2,35,-45.06086919999999,13.549130800000002,19.239130799999998
nsga2,36,-97.19370090066515,18.156299099334852,66.20629909933486
nsga2,37,-43.64128605769231,8.718713942307692,43.958713942307696
nsga2,38,-67.88018397500001,18.269816024999997,40.21981602499999
nsga2,39,-75.2,14.549999999999999,52.5
nsga2,40,-61.181327849999995,11.44867215,29.91867215
nsga2,41,-17.082922615384618,7.527077384615385,11.917077384615387
nsga2,42,-52.0,11.28,48.300000000000004
nsga2,43,-78.19797503749999,21.2420249625,46.8020249625
nsga2,44,-96.31167004007166,25.04832995992835,54.48832995992835
nsga2,45,-89.5054494875,17.024550512500003,64.39455051250002
nsga2,46,-79.599953583806,13.96004641619401,55.60004641619401
nsga2,47,-81.16894718374999,34.731052816250006,45.431052816249995
