experiment,solution_id,obj_1,obj_2,obj_3
user2_spea2,0,-76.19613948994036,15.963860510059625,51.103860510059626
user2_spea2,1,-92.86981012807694,19.820189871923073,51.03018987192308
user2_spea2,2,-82.54175711923077,16.26824288076923,46.65824288076923
user2_spea2,3,-61.29991698641146,16.660083013588537,32.30008301358854
user2_spea2,4,-77.662817715,21.007182285000003,34.937182285000006
user2_spea2,5,-69.07688140151318,22.12311859848682,32.523118598486825
user2_spea2,6,-70.694091425,17.485908574999996,36.605908575
user2_spea2,7,-21.491170674999996,6.468829324999999,16.808829325
user2_spea2,8,-66.97136986923077,18.30863013076923,35.22863013076923
user2_spea2,9,-100.993492925,22.796507074999994,51.706507075000005
user2_spea2,10,-66.88396897555128,30.526031024448702,22.616031024448706
user2_spea2,11,-72.65532699230769,20.35467300769231,34.644673007692305
user2_spea2,12,-71.48064696923076,17.909353030769232,41.719353030769234
user2_spea2,13,-91.15297467307693,15.987025326923074,52.34702532692308
user2_spea2,14,-39.3,25.16,14.100000000000001
user2_spea2,15,-47.48653415,10.18346585,27.513465850000003
user2_spea2,16,-72.467817585,22.902182415,34.132182415
user2_spea2,17,-66.95471709999998,14.1052829,37.445282899999995
user2_spea2,18,-61.565550650000006,24.024449350000005,29.53444935
user2_spea2,19,-3.586786097300748,8.663213902699251,11.513213902699253
user2_spea2,20,-60.052801935,25.087198065000003,27.147198065
user2_spea2,21,-27.912916825037573,18.39708317496242,12.687083174962423
user2_spea2,22,-82.18698661538463,18.133013384615385,44.113013384615385
user2_spea2,23,-46.977020890051605,30.31297910994839,13.722979109948389
user2_spea2,24,-61.715708185,27.374291815,29.484291815
user2_spea2,25,-63.208964435000006,16.131035565,36.591035565
user2_spea2,26,-82.34574980192308,16.22425019807692,47.854250198076926
user2_spea2,27,-106.78112178082212,19.828878219177877,72.11887821917789
user2_spea2,28,-52.2911304,11.128869600000002,30.408869600000003
user2_spea2,29,-42.129222328559976,10.680777671440024,26.270777671440023
user2_spea2,30,-61.93280791,20.377192089999998,30.56719209
user2_spea2,31,-29.304269125,26.815730874999996,12.795730875000002
user2_spea2,32,-65.44810856923078,17.091891430769227,32.851891430769236
user2_spea2,33,-53.85957091166951,19.24042908833049,23.04042908833049
user2_spea2,34,-40.900000000000006,12.93,22.900000000000002
user2_spea2,35,-66.17332684631877,20.03667315368123,31.02667315368123
user2_spea2,36,-6.892109030769231,11.447890969230768,6.407890969230769
user2_spea2,37,-69.1457796,15.234220399999998,36.9542204
user2_spea2,38,-65.87179318650574,12.718206813494263,41.928206813494256
