experiment,solution_id,obj_1,obj_2,obj_3,breakfast_ids,lunch_ids
algo_nsga2,81,-44.87471725,11.41528275,24.92528275,"[60, 67, 26, 52, 57, 14, 42, 53, 7, 21, 80, 29, 12, 39, 58]","[154, 248, 344, 323, 296, 274, 155, 228, 347, 212, 222, 286, 244, 293, 282]"
algo_nsga2,82,-56.132768799999994,24.7072312,24.6672312,"[9, 24, 69, 41, 67, 59, 61, 38, 10, 92, 32, 18, 22, 14, 47]","[177, 154, 248, 344, 323, 221, 358, 274, 201, 219, 262, 374, 382, 299, 155]"
algo_nsga2,83,-39.300000000000004,8.33,36.5,"[91, 32, 44, 92, 17, 85, 90, 68, 89, 27, 62, 65, 54, 73, 10]","[329, 350, 168, 279, 392, 373, 306, 317, 139, 298, 397, 97, 327, 230, 105]"
algo_nsga2,84,-42.144836500000004,11.145163499999999,29.9551635,"[84, 15, 56, 59, 53, 58, 13, 21, 50, 75, 46, 71, 81, 35, 34]","[275, 151, 384, 248, 344, 323, 296, 221, 358, 132, 201, 219, 262, 374, 382]"
algo_nsga2,85,-9.406477598745925,10.373522401254075,7.493522401254076,"[9, 49, 24, 69, 13, 51, 41, 67, 59, 15, 61, 38, 10, 92, 32]","[174, 254, 159, 347, 274, 194, 267, 157, 369, 191, 362, 314, 388, 290, 120]"
algo_nsga2,86,-52.712092603589745,8.357907396410257,36.887907396410256,"[32, 20, 8, 44, 85, 52, 37, 92, 91, 17, 90, 51, 61, 27, 36]","[243, 237, 395, 152, 321, 374, 176, 101, 232, 248, 315, 249, 195, 203, 282]"
algo_nsga2,87,-84.55582440875,15.68417559125,52.04417559125,"[32, 44, 92, 78, 17, 85, 90, 68, 61, 27, 58, 8, 65, 73, 10]","[107, 275, 151, 154, 248, 344, 323, 296, 221, 358, 274, 201, 219, 262, 374]"
algo_nsga2,88,-56.89968275491031,14.890317245089689,29.10031724508969,"[88, 32, 10, 78, 17, 90, 61, 27, 36, 65, 38, 60, 63, 82, 13]","[261, 275, 154, 248, 344, 323, 296, 221, 358, 274, 201, 219, 262, 374, 382]"
algo_nsga2,89,-106.66750758838312,21.102492411616897,60.732492411616896,"[91, 9, 88, 32, 44, 92, 78, 85, 90, 27, 36, 8, 65, 38, 10]","[275, 151, 154, 248, 344, 323, 296, 221, 358, 274, 201, 219, 262, 374, 382]"
algo_nsga2,90,-11.1649458,18.0550542,6.635054199999999,"[89, 33, 46, 83, 61, 56, 57, 1, 93, 10, 13, 44, 62, 92, 85]","[314, 120, 202, 227, 248, 344, 323, 296, 221, 358, 274, 201, 219, 262, 374]"
algo_nsga2,91,-7.02004425,12.05995575,3.9799557500000002,"[33, 13, 24, 69, 63, 2, 41, 80, 29, 71, 39, 58, 49, 40, 12]","[281, 143, 232, 201, 174, 124, 290, 139, 369, 378, 104, 267, 402, 257, 327]"
algo_nsga2,92,-84.55582440875,15.68417559125,52.04417559125,"[32, 44, 92, 78, 17, 85, 90, 68, 61, 27, 8, 58, 65, 73, 10]","[107, 275, 151, 154, 248, 344, 323, 296, 221, 358, 274, 201, 219, 262, 374]"
algo_nsga2,93,-32.423108000000006,11.486891999999997,14.376892,"[50, 7, 24, 45, 28, 84, 32, 94, 78, 57, 22, 77, 46, 17, 85]","[391, 96, 109, 271, 224, 396, 373, 206, 248, 390, 195, 136, 190, 134, 288]"
algo_nsga2,94,-31.650179763333334,8.899820236666667,18.349820236666663,"[32, 61, 8, 59, 10, 26, 56, 13, 69, 14, 88, 41, 82, 92, 38]","[389, 353, 332, 192, 262, 394, 221, 317, 128, 306, 242, 145, 373, 329, 392]"
algo_nsga2,95,-70.3999027962351,13.480097203764904,44.30009720376491,"[32, 44, 92, 78, 17, 85, 90, 68, 61, 27, 36, 8, 51, 54, 62]","[275, 151, 154, 344, 323, 296, 221, 358, 274, 201, 299, 209, 219, 262, 374]"
algo_nsga2,96,-82.04599005370277,24.244009946297222,46.45400994629723,"[17, 85, 90, 68, 61, 29, 36, 8, 65, 73, 10, 26, 15, 56, 63]","[275, 151, 154, 248, 344, 323, 296, 221, 358, 274, 201, 219, 262, 374, 382]"
algo_nsga2,97,-108.33595507930805,29.724044920691952,75.96404492069196,"[77, 91, 22, 88, 32, 44, 92, 78, 17, 85, 18, 68, 61, 27, 36]","[151, 154, 248, 344, 323, 221, 358, 274, 201, 219, 262, 374, 382, 299, 155]"
algo_nsga2,98,-48.9,11.880000000000003,22.7,"[33, 55, 14, 71, 85, 12, 13, 36, 80, 27, 52, 54, 82, 8, 61]","[275, 151, 154, 248, 344, 323, 296, 221, 358, 274, 201, 219, 262, 374, 382]"
algo_nsga2,99,-48.9,11.880000000000003,22.7,"[33, 55, 14, 71, 85, 12, 13, 36, 80, 27, 52, 54, 82, 8, 61]","[275, 151, 154, 248, 344, 323, 296, 221, 358, 274, 201, 219, 262, 374, 382]"
