experiment,solution_id,obj_1,obj_2,obj_3,breakfast_ids,lunch_ids
diversity_on_nsga2,52,-69.6032208,17.1467792,37.2967792,"[68, 91, 9, 50, 54, 77, 56, 2, 48, 21, 71, 20, 82, 11, 72]","[217, 199, 141, 271, 140, 167, 347, 153, 353, 392, 131, 323, 100, 317, 389]"
diversity_on_nsga2,53,-80.862126905,18.827873095,39.737873095000005,"[59, 32, 16, 86, 63, 50, 6, 47, 84, 46, 2, 91, 9, 52, 80]","[369, 341, 154, 342, 204, 108, 275, 199, 170, 209, 140, 167, 153, 392, 323]"
diversity_on_nsga2,54,-88.31039109999999,20.9196089,57.4896089,"[30, 85, 21, 91, 77, 28, 39, 8, 19, 42, 60, 11, 43, 41, 75]","[154, 342, 199, 140, 167, 153, 323, 317, 389, 336, 159, 212, 401, 247, 162]"
diversity_on_nsga2,55,-8.7,7.789999999999999,14.1,"[93, 33, 15, 24, 21, 26, 41, 74, 94, 61, 4, 82, 18, 66, 87]","[313, 214, 402, 181, 164, 239, 98, 100, 173, 385, 327, 386, 392, 109, 404]"
diversity_on_nsga2,56,-20.289326788461537,8.560673211538461,16.81067321153846,"[11, 26, 39, 93, 82, 86, 78, 74, 88, 51, 17, 43, 10, 87, 76]","[275, 148, 376, 225, 261, 399, 192, 385, 401, 141, 372, 208, 387, 176, 296]"
diversity_on_nsga2,57,-76.24498885297123,19.005011147028764,34.355011147028755,"[41, 77, 88, 30, 73, 48, 82, 10, 93, 29, 27, 43, 14, 25, 3]","[341, 154, 342, 204, 108, 217, 199, 141, 271, 140, 167, 347, 153, 353, 392]"
diversity_on_nsga2,58,-85.57896214375,18.67103785625,68.22103785624999,"[78, 43, 21, 91, 77, 28, 39, 2, 19, 42, 50, 11, 38, 41, 54]","[342, 199, 140, 167, 153, 323, 317, 389, 286, 159, 212, 401, 247, 162, 320]"
diversity_on_nsga2,59,-34.08979508461539,8.170204915384616,17.910204915384618,"[11, 26, 39, 93, 82, 86, 78, 74, 88, 77, 51, 17, 43, 10, 87]","[183, 291, 273, 354, 332, 405, 174, 165, 113, 400, 209, 321, 333, 221, 226]"
diversity_on_nsga2,60,-25.7,9.17,15.4,"[56, 90, 11, 26, 39, 93, 82, 86, 78, 74, 88, 77, 51, 53, 70]","[311, 336, 342, 118, 340, 347, 393, 208, 366, 391, 145, 140, 297, 193, 245]"
diversity_on_nsga2,61,-82.11464875448694,20.765351245513077,38.185351245513075,"[30, 91, 24, 55, 39, 62, 41, 73, 87, 10, 93, 61, 74, 16, 17]","[154, 342, 204, 108, 217, 199, 141, 271, 140, 167, 347, 153, 353, 392, 131]"
diversity_on_nsga2,62,-65.47443725,17.665562750000003,28.325562750000007,"[84, 46, 91, 9, 52, 80, 92, 75, 15, 89, 16, 72, 36, 26, 22]","[341, 154, 342, 204, 108, 275, 199, 170, 209, 140, 167, 153, 392, 323, 317]"
diversity_on_nsga2,63,-44.375398733333334,10.214601266666667,19.12460126666667,"[19, 11, 67, 21, 36, 46, 33, 44, 25, 3, 69, 4, 18, 17, 85]","[382, 400, 154, 342, 345, 108, 275, 199, 170, 209, 140, 167, 153, 392, 323]"
diversity_on_nsga2,64,-50.69626375,10.373736250000002,24.203736250000002,"[66, 22, 57, 62, 10, 76, 45, 51, 54, 78, 90, 91, 48, 82, 75]","[273, 341, 154, 342, 345, 108, 275, 199, 170, 209, 140, 167, 153, 392, 323]"
diversity_on_nsga2,65,-32.12305225,18.12694775,11.976947749999999,"[9, 39, 11, 75, 74, 82, 85, 51, 87, 59, 21, 28, 1, 48, 52]","[251, 341, 370, 154, 155, 191, 293, 285, 342, 252, 129, 236, 199, 289, 336]"
diversity_on_nsga2,66,-83.40541287500001,21.434587125000004,37.79458712499999,"[30, 91, 24, 55, 39, 62, 41, 73, 87, 10, 93, 61, 74, 16, 17]","[154, 342, 204, 108, 217, 199, 141, 271, 140, 167, 347, 153, 353, 392, 131]"
diversity_on_nsga2,67,-22.5,12.110000000000001,8.8,"[33, 26, 36, 38, 2, 8, 9, 46, 28, 49, 14, 54, 25, 64, 48]","[249, 154, 206, 191, 114, 265, 342, 158, 333, 279, 317, 267, 323, 130, 263]"
diversity_on_nsga2,68,-72.72671714372896,16.293282856271045,41.273282856271045,"[59, 32, 13, 86, 63, 50, 6, 82, 84, 46, 2, 91, 9, 52, 80]","[369, 341, 154, 342, 204, 108, 275, 199, 170, 209, 140, 167, 153, 392, 323]"
diversity_on_nsga2,69,-85.09061605000001,24.399383949999997,40.209383949999996,"[9, 31, 2, 54, 5, 88, 28, 76, 80, 1, 77, 56, 92, 7, 49]","[248, 369, 341, 154, 342, 204, 108, 275, 199, 170, 209, 140, 167, 153, 392]"
diversity_on_nsga2,70,-93.29485505606665,27.845144943933363,56.20514494393337,"[91, 9, 54, 5, 88, 28, 76, 27, 1, 77, 3, 50, 80, 92, 21]","[341, 154, 342, 204, 108, 199, 140, 153, 392, 323, 317, 389, 336, 212, 397]"
diversity_on_nsga2,71,-27.917238750000003,6.6427612499999995,19.88276125,"[66, 46, 47, 6, 54, 83, 63, 5, 49, 69, 42, 26, 88, 78, 14]","[183, 291, 273, 354, 332, 405, 174, 165, 113, 400, 209, 321, 333, 221, 226]"
diversity_on_nsga2,72,-95.31660943384615,31.013390566153845,59.083390566153845,"[31, 2, 54, 5, 88, 28, 76, 80, 1, 77, 56, 92, 7, 49, 50]","[248, 369, 341, 154, 342, 204, 108, 275, 199, 170, 209, 140, 167, 153, 392]"
diversity_on_nsga2,73,-91.01952485000001,33.01047515,53.58047515,"[70, 31, 2, 43, 5, 88, 28, 76, 80, 1, 77, 56, 92, 7, 49]","[341, 154, 342, 204, 108, 217, 199, 336, 271, 140, 389, 347, 153, 353, 392]"
diversity_on_nsga2,74,-21.4,11.68,7.9,"[33, 61, 32, 39, 12, 69, 41, 10, 63, 78, 26, 35, 36, 74, 66]","[192, 375, 300, 177, 341, 243, 403, 165, 184, 302, 178, 309, 210, 221, 125]"
diversity_on_nsga2,75,-26.8,11.57,15.6,"[53, 33, 93, 61, 74, 73, 35, 44, 42, 91, 49, 11, 67, 21, 36]","[273, 312, 165, 400, 218, 110, 322, 152, 164, 332, 157, 113, 368, 209, 337]"
diversity_on_nsga2,76,-72.72671714372896,16.293282856271045,41.273282856271045,"[59, 32, 13, 86, 63, 50, 6, 82, 84, 46, 2, 91, 9, 52, 80]","[369, 341, 154, 342, 204, 108, 275, 199, 170, 209, 140, 167, 153, 392, 323]"
diversity_on_nsga2,77,-57.6067688625,13.7532311375,34.5932311375,"[54, 64, 94, 44, 57, 81, 41, 73, 76, 87, 10, 93, 75, 59, 74]","[342, 204, 108, 217, 199, 141, 271, 140, 167, 347, 153, 353, 392, 131, 323]"
diversity_on_nsga2,78,-63.839868325,16.610131675,27.260131674999997,"[91, 36, 55, 39, 62, 41, 73, 87, 10, 93, 61, 74, 16, 17, 29]","[154, 342, 204, 108, 217, 199, 141, 271, 140, 167, 347, 153, 353, 392, 131]"
diversity_on_nsga2,79,-43.653370925,9.246629075,17.446629075,"[55, 33, 44, 25, 3, 4, 18, 17, 86, 87, 39, 43, 74, 94, 16]","[341, 154, 342, 345, 108, 275, 199, 170, 209, 140, 167, 153, 392, 323, 317]"
diversity_on_nsga2,80,-60.71485150000001,16.8651485,20.7851485,"[61, 39, 94, 85, 2, 34, 68, 12, 20, 59, 54, 33, 25, 64, 3]","[248, 341, 154, 342, 108, 199, 141, 271, 140, 347, 153, 353, 131, 323, 100]"
diversity_on_nsga2,81,-77.52411266254384,17.145887337456156,57.77588733745616,"[26, 68, 20, 14, 54, 64, 1, 8, 49, 88, 76, 77, 7, 28, 31]","[154, 342, 204, 108, 275, 199, 170, 209, 140, 167, 153, 392, 323, 317, 389]"
diversity_on_nsga2,82,-28.719525945576923,28.030474054423077,9.380474054423075,"[1, 26, 27, 89, 18, 37, 7, 22, 47, 67, 84, 87, 76, 21, 78]","[120, 128, 113, 351, 198, 354, 287, 108, 384, 184, 394, 360, 390, 228, 159]"
diversity_on_nsga2,83,-79.6139053,18.1460947,60.98609470000001,"[78, 43, 83, 91, 77, 28, 39, 2, 68, 19, 42, 50, 11, 85, 41]","[342, 199, 140, 167, 153, 323, 317, 389, 286, 159, 212, 401, 247, 162, 320]"
